plot_order,LAT,LON,H_LI,LEVEL-1
535,-66.07517,-61.92739,53.85756,53.85756
536,-66.075,-61.92734,53.84945,53.84945
537,-66.07482,-61.92729,53.83019,53.83019
538,-66.07464,-61.92724,53.79707,53.79707
539,-66.07446,-61.92719,53.74982,53.74982
540,-66.07429,-61.92714,53.69863,53.69863
541,-66.07411,-61.92709,53.67298,53.67298
542,-66.07393,-61.92704,53.65233,53.65233
543,-66.07375,-61.92699,53.62275,53.62275
544,-66.07358,-61.92694,53.58997,53.58997
545,-66.0734,-61.92689,53.55379,53.55379
546,-66.07322,-61.92684,53.54307,53.54307
547,-66.07304,-61.92679,53.54325,53.54325
548,-66.07287,-61.92674,53.53101,53.53101
549,-66.07269,-61.92669,53.50496,53.50496
550,-66.07251,-61.92664,53.48458,53.48458
551,-66.07234,-61.92659,53.48433,53.48433
552,-66.07216,-61.92654,53.47589,53.47589
553,-66.07198,-61.92649,53.45591,53.45591
554,-66.0718,-61.92644,53.43568,53.43568
555,-66.07163,-61.92639,53.46953,53.46953
556,-66.07145,-61.92634,53.51167,53.51167
557,-66.07127,-61.92629,53.52355,53.52355
558,-66.07109,-61.92624,53.52164,53.52164
559,-66.07092,-61.92619,53.53003,53.53003
560,-66.07074,-61.92614,53.52427,53.52427
561,-66.07056,-61.92609,53.52913,53.52913
562,-66.07038,-61.92604,53.53766,53.53766
563,-66.07021,-61.92599,53.51477,53.51477
564,-66.07003,-61.92594,53.49844,53.49844
565,-66.06985,-61.92589,53.4993,53.4993
566,-66.06967,-61.92584,53.48975,53.48975
567,-66.0695,-61.92579,53.47442,53.47442
568,-66.06932,-61.92574,53.46783,53.46783
569,-66.06914,-61.92569,53.4605,53.4605
570,-66.06896,-61.92564,53.43839,53.43839
571,-66.06879,-61.92559,53.40913,53.40913
572,-66.06861,-61.92554,53.39402,53.39402
573,-66.06843,-61.92549,53.34075,53.34075
574,-66.06825,-61.92544,53.31791,53.31791
575,-66.06808,-61.92539,53.30227,53.30227
576,-66.0679,-61.92534,53.25488,53.25488
577,-66.06772,-61.92529,53.21847,53.21847
578,-66.06754,-61.92524,53.17568,53.17568
